question,QID,answer,answer_OID
"Marvel character Zeus ruled the underworld.",ENTERTAINMENT_a798_0182,False,ENTERTAINMENT_OPT_7cdf_000B
"Seth is the Egyptian god of evil and death in the Marvel Comics universe.",ENTERTAINMENT_4d50_0183,True,ENTERTAINMENT_OPT_8f84_000B
"On what radio station do the Junkies broadcast?",ENTERTAINMENT_38b3_0184,WJFK,ENTERTAINMENT_OPT_8b0f_000D
"Which of the following is NOT one of the four Junkies?",ENTERTAINMENT_700b_0185,"Bruce The Hugger",ENTERTAINMENT_OPT_f0c8_000D
"Johnny Cakes Auville once stayed in a coffin in order to win a bet.",ENTERTAINMENT_7981_0186,True,ENTERTAINMENT_OPT_c058_000B
"According to the Junkies, what is the practice of inebriated love making immediately followed by redistribution of wealth and treating your friends to breakfast called?",ENTERTAINMENT_4938_0187,sturching,ENTERTAINMENT_OPT_c78a_000D
"If someone well-versed in Junkies Lingo says that someone or something is a show, it is a positive thing.",ENTERTAINMENT_8fdb_0188,False,ENTERTAINMENT_OPT_6d57_000A
"Which Junkies ersatz nickname is The Latin Donkey?",ENTERTAINMENT_659c_0189,JP,ENTERTAINMENT_OPT_698a_000A
"On Fridays, Big Daddy Kev comes in for a segment on the morning Junkies show to talk about fantasy sports.",ENTERTAINMENT_fc57_0190,False,ENTERTAINMENT_OPT_58ab_000B
"What is the first tubular steel track roller coaster?",ENTERTAINMENT_6d42_0191,"Matterhorn Bobsleds, Disneyland",ENTERTAINMENT_OPT_eba9_000C
"What is the first amusement park with four roller coasters that are taller than 200 feet (61 m)?",ENTERTAINMENT_1bb2_0192,"Cedar Point Sandusky, Ohio, USA",ENTERTAINMENT_OPT_cf10_000C
"What was the first looping roller coaster?",ENTERTAINMENT_89e8_0193,"Centrifugal Railway, Frascati Garden, Paris",ENTERTAINMENT_OPT_4bb5_000B
"What was the first roller coaster to reach a height of 100 ft?",ENTERTAINMENT_8650_0194,"Cyclone, Revere Beach, Revere, Massachusetts, United States",ENTERTAINMENT_OPT_db4f_000A
"There has never been a wooden roller coaster with an inversion.",ENTERTAINMENT_20de_0195,False,ENTERTAINMENT_OPT_9e08_000B
"What is the first modern roller coaster to have a vertical loop?",ENTERTAINMENT_b1dc_0196,"Revolution, Six Flags Magic Mountain, Valencia, California",ENTERTAINMENT_OPT_fc6b_000C
"Who is the mascot for Indiana Beach?",ENTERTAINMENT_bd38_0197,"IB Crow",ENTERTAINMENT_OPT_45d9_000A
"Which roller coaster was Indiana Beachs first?",ENTERTAINMENT_437c_0198,Galaxy,ENTERTAINMENT_OPT_b77f_000C
"In addition to the sandy beach, Indiana Beach also has a large waterpark.",ENTERTAINMENT_5c7b_0199,True,ENTERTAINMENT_OPT_26b2_000A
"Which of the following is not a lodging option at Indiana Beach?",ENTERTAINMENT_46b9_0200,Time-shares,ENTERTAINMENT_OPT_c241_000B
"What year did Indiana Beach open?",ENTERTAINMENT_b370_0201,1926,ENTERTAINMENT_OPT_5a83_000D
"What is the Shafer Queen?",ENTERTAINMENT_f0b8_0202,"River boat",ENTERTAINMENT_OPT_b456_000D
"What is the Indiana Beach slogan?",ENTERTAINMENT_fd2e_0203,"Theres more than corn in Indiana.",ENTERTAINMENT_OPT_c565_000D
"Indiana Beach has a water and ski show.",ENTERTAINMENT_2757_0204,True,ENTERTAINMENT_OPT_d12d_000A
"What type of walk-through attraction at Indiana Beach was voted the worlds #1 in 2006?",ENTERTAINMENT_1000_0205,"a haunted house",ENTERTAINMENT_OPT_f2e5_000C
"What is Judge Dredds first name?",ENTERTAINMENT_54da_0206,Joseph,ENTERTAINMENT_OPT_c321_000C
"Judge Dredd is 2000 ADs longest-running character, appearing from the first issue in 1977.",ENTERTAINMENT_d92c_0207,False,ENTERTAINMENT_OPT_6d7e_000B
"Judge Dredds visual appearance was loosely based on the character of Frankenstein from the film Death Race 2000.",ENTERTAINMENT_211f_0208,True,ENTERTAINMENT_OPT_b31b_000A
"The giant city, Mega City One, where Judge Dredd is a lawkeeper, is located in which area that we would recognise nowadays?",ENTERTAINMENT_9010_0209,"East coast USA",ENTERTAINMENT_OPT_ff85_000B
"What sentence does Judge Dredd frequently utter during his duties?",ENTERTAINMENT_bbfd_0210,"I am the law!",ENTERTAINMENT_OPT_8cf9_000C
"What was the name of Judge Dredds clone-brother, who he turned in to the authorities when he began to break the law?",ENTERTAINMENT_fd42_0211,Rico,ENTERTAINMENT_OPT_5814_000C
"Judge Dredd once lived in an apartment block named after a character from Rawhide.",ENTERTAINMENT_11a4_0212,True,ENTERTAINMENT_OPT_0055_000B
"Which of the following has Judge Dredd not battled against?",ENTERTAINMENT_80db_0213,"Daleks from the TV series Dr Who",ENTERTAINMENT_OPT_bc32_000C
"In the film Judge Dredd, who plays the title character?",ENTERTAINMENT_09b4_0214,"Sylvester Stallone",ENTERTAINMENT_OPT_6036_000D
"In The New Batman Adventures episode Over the Edge, who does Commissioner Gordon hire to help him kill Batman?",ENTERTAINMENT_5ba1_0215,Bane,ENTERTAINMENT_OPT_3701_000B
"Fictional character Batman has a son.",ENTERTAINMENT_aa8b_0216,True,ENTERTAINMENT_OPT_4719_000B
"What issue did the Joker originally appear in?",ENTERTAINMENT_2c2f_0217,"Detective Comics #168",ENTERTAINMENT_OPT_9c5f_000B
"In Homestar Runner, what power does the blue diamond on Strong Bads mask give him?",ENTERTAINMENT_6ac1_0218,"He can mentally open Cold Ones.",ENTERTAINMENT_OPT_cf94_000C
"In the Internet cartoon Homestar Runner, Strong Bad works with Homestar and The Cheat at an unnamed tech company, but what is his dream job?",ENTERTAINMENT_060d_0219,"2nd 2nd assistant space whale scrubber",ENTERTAINMENT_OPT_f7b8_000B
"What is the name of the fan club dedicated to Homestar Runner character Strong Bad?",ENTERTAINMENT_b525_0220,"The Deleteheads",ENTERTAINMENT_OPT_d8d6_000A
"In the e-mail secret recipes, Strong Bad claims he has a secret family recipe for cooking which of the following?",ENTERTAINMENT_9eca_0221,Chekt,ENTERTAINMENT_OPT_f129_000B
"In the e-mail animal, Homestar Runner character Strong Bad is asked to make-up an animal. What is NOT one of the animals that he creates?",ENTERTAINMENT_c760_0222,"La Mongo",ENTERTAINMENT_OPT_0a66_000D
"Cartoon character Strong Bad got this name because he can bench-press 125 pounds.",ENTERTAINMENT_54f1_0223,False,ENTERTAINMENT_OPT_d4d6_000A
"In the Homestar Runner cartoon, Strong Bad and Strong Sad co-author the Teen Girl Squad comic.",ENTERTAINMENT_8e7a_0224,False,ENTERTAINMENT_OPT_32d5_000B
"Which movie is this Warcraft 3 quote from? Bandit: -What we have here is a failure to communicate.",ENTERTAINMENT_5360_0225,"Cool Hand Luke",ENTERTAINMENT_OPT_32f6_000A
"In the cartoon series Calvin and Hobbes, what is Hobbes?",ENTERTAINMENT_139d_0226,"A stuffed tiger",ENTERTAINMENT_OPT_cde5_000C
"What is Calvins favorite subject according to the popular comics Calvin and Hobbes?",ENTERTAINMENT_320e_0227,Dinosaurs,ENTERTAINMENT_OPT_9690_000D
"In the Calvin and Hobbes comics, Hobbes is constantly sneaking up on Calvin and pouncing on him when he doesnt expect it.",ENTERTAINMENT_8c91_0228,True,ENTERTAINMENT_OPT_7dc3_000A
"Which of these has not been used as a ring name by Hulk Hogan?",ENTERTAINMENT_6996_0229,"The Bronze Bomb",ENTERTAINMENT_OPT_41d3_000D
"Who bought the rights to the name Hulk Hogan in 2005?",ENTERTAINMENT_64d8_0230,"Hulk Hogan",ENTERTAINMENT_OPT_9d54_000B
"In what year was Hulk Hogan inducted into the WWE Hall of Fame?",ENTERTAINMENT_0156_0231,2005,ENTERTAINMENT_OPT_52bd_000C
"Hulk Hogans oldest daughter Cassidy refuses to be filmed on the familys reality show.",ENTERTAINMENT_e7b6_0232,False,ENTERTAINMENT_OPT_52b9_000B
"What is the name of Hulk Hogans wife, whom he married in 1983?",ENTERTAINMENT_6476_0233,Linda,ENTERTAINMENT_OPT_769b_000D
"Hulk Hogan has played in several rock bands.",ENTERTAINMENT_699a_0234,True,ENTERTAINMENT_OPT_390b_000B
"In what year did Hulk Hogan make his debut in the World Wrestling Federation?",ENTERTAINMENT_3383_0235,1979,ENTERTAINMENT_OPT_2cb6_000D
"Which of these actors has Hulk Hogan not co-starred with?",ENTERTAINMENT_74f3_0236,"John Ritter",ENTERTAINMENT_OPT_f812_000B
"In which of the Rocky movies did Hulk Hogan have a part?",ENTERTAINMENT_dde7_0237,"Rocky III",ENTERTAINMENT_OPT_bb88_000B
"Which video game is the following quote from? Ive got muscles in places youve never even heard of.",ENTERTAINMENT_393a_0238,"Escape from Monkey Island",ENTERTAINMENT_OPT_4503_000B
"Which video game are the following quotes from? A: Come on, comrades! Up to the rooftop! Go! B: Get that flag up! Berlin is ours!",ENTERTAINMENT_d852_0239,"Call of Duty",ENTERTAINMENT_OPT_4228_000D
"Choose the missing words in the following lyrics to get the name of a song from Guitar Hero 3: ___________ _____, if you know what I mean ___________ _____, she taught me everything This lady she asked me, if I would be her man You know that I told her, Id do what I can To keep her looking pretty Buy her dresses that shine",ENTERTAINMENT_70b3_0240,"Mississippi queen",ENTERTAINMENT_OPT_e777_000C
"Emmett Kelly, who initially was a trapeze artist, started working as a clown in what year?",ENTERTAINMENT_d8c2_0241,1931,ENTERTAINMENT_OPT_a07b_000A
"What was the name of Emmett Kellys son, who also played a character named Weary Willie?",ENTERTAINMENT_89ef_0242,"Emmett Kelly Jr.",ENTERTAINMENT_OPT_41a1_000C
"Circus performer Emmet Kelly is depicted in a famous photograph trying to put out the fire that occurred shortly after the San Francisco Earthquake in 1938.",ENTERTAINMENT_71bb_0243,False,ENTERTAINMENT_OPT_d574_000A
"Emmett Kelly died of heart attack in 1979 at age of 80.",ENTERTAINMENT_efe3_0244,True,ENTERTAINMENT_OPT_a9ae_000B
"Emmett Kelly took a year off from the stage and circus to serve as mascot for which baseball team?",ENTERTAINMENT_3fdd_0245,"Brooklyn Dodgers",ENTERTAINMENT_OPT_c2fd_000B
"In 1957, Cecil B. DeMilles hired Emmett Kelly to perform in I, Clowns.",ENTERTAINMENT_43b8_0246,False,ENTERTAINMENT_OPT_3f67_000B
"Circus performer Emmet Kelly started his trapeze act in 1923 with the John Robinson Circus.",ENTERTAINMENT_53ee_0247,True,ENTERTAINMENT_OPT_0f1f_000B
"Name Emmett Kellys birth state, which is also the location of the Emmett Kelly Museum.",ENTERTAINMENT_3475_0248,Kansas,ENTERTAINMENT_OPT_7d1b_000B
"Emmett Kellys character, Weary Willie, always made fans burst out in laughter.",ENTERTAINMENT_b152_0249,False,ENTERTAINMENT_OPT_8c78_000A
"How many contestants are there in the Miss America competition each year?",ENTERTAINMENT_0913_0250,52,ENTERTAINMENT_OPT_1d7d_000B
"How many years does the winner of the Miss America Pageant hold the Miss America title?",ENTERTAINMENT_e0a0_0251,1,ENTERTAINMENT_OPT_2535_000C
"Where did the first Miss America pageant take place?",ENTERTAINMENT_9448_0252,"Atlantic City, New Jersey",ENTERTAINMENT_OPT_2676_000D
"The Miss America Pageant is the number one provider of which of the following?",ENTERTAINMENT_f107_0253,"Scholarships for women in the United States",ENTERTAINMENT_OPT_8f49_000D
"During the talent portion of the Miss America competition the contestants perform on stage. What are the two most common talents that are exhibited?",ENTERTAINMENT_e5db_0254,"Singing and dancing",ENTERTAINMENT_OPT_a82c_000D
"In 1996, a phone-in poll was held to ask the public if they should continue with the swimsuit portion of the Miss America Pageant. What percentage of voters wanted the swimsuit portion to continue?",ENTERTAINMENT_7d08_0255,87%,ENTERTAINMENT_OPT_f97b_000C
"Who was the very first woman to win the Miss America competition?",ENTERTAINMENT_e6eb_0256,"Margaret Gorman",ENTERTAINMENT_OPT_1975_000C
"What year was the Miss America competition televised for the very first time?",ENTERTAINMENT_bb3c_0257,1955,ENTERTAINMENT_OPT_0715_000D
"Who became the first African American woman to win the title of Miss America?",ENTERTAINMENT_0f70_0258,"Vanessa Williams",ENTERTAINMENT_OPT_b3ea_000D
"How many times can a woman compete in the Miss America pageant?",ENTERTAINMENT_bc4d_0259,1,ENTERTAINMENT_OPT_4067_000D
"What hero do these words belong to: I fear no death, I fear no enemy, our strength is eternal",ENTERTAINMENT_d50e_0260,Fenix,ENTERTAINMENT_OPT_b62e_000C
"Who created Popeye, Olive Oyl and Bluto?",ENTERTAINMENT_7900_0261,"Elzie C. Segar",ENTERTAINMENT_OPT_97dc_000A
"Olive Oyl was created before Popeye.",ENTERTAINMENT_30a8_0262,True,ENTERTAINMENT_OPT_365b_000B
"Who was the woman who was the basis for the character Olive Oyl?",ENTERTAINMENT_6d33_0263,"Dora Paskel",ENTERTAINMENT_OPT_fe05_000A
"Who provided the voice for Olive Oyl in the cartoons?",ENTERTAINMENT_d8cd_0264,"Mae Questel",ENTERTAINMENT_OPT_8224_000D
"Which of the following movies premiered in 1948?",ENTERTAINMENT_acea_0265,"Olive Oyl for President",ENTERTAINMENT_OPT_6f9e_000A
"In the  1980 movie Popeye, which pair portrayed Popeye and Olive?",ENTERTAINMENT_a926_0266,"Robin Williams and  Shelley Duvall",ENTERTAINMENT_OPT_2ade_000A
"Who was Sweet Pea?",ENTERTAINMENT_1154_0267,"It is never revealed.",ENTERTAINMENT_OPT_ec2c_000C
"Who was Olive Oyls niece?",ENTERTAINMENT_09d4_0268,"Diesel Oyl",ENTERTAINMENT_OPT_8ba8_000D
"What rock group is featured in the Rock n Roller Coaster?",ENTERTAINMENT_a872_0269,Aerosmith,ENTERTAINMENT_OPT_78ae_000B
"The Dark Knight is an indoor roller coaster.",ENTERTAINMENT_dac6_0270,True,ENTERTAINMENT_OPT_4ce9_000B
"Who created Captain America?",ENTERTAINMENT_56b5_0271,"Joe Simon  Jack Kirby",ENTERTAINMENT_OPT_6c68_000C
"Captain America made his first appearance in what comic book?",ENTERTAINMENT_4f51_0272,"Captain America Comics #1",ENTERTAINMENT_OPT_ef9f_000C
"Who was Captain Americas sidekick during World War II?",ENTERTAINMENT_62a1_0273,Bucky,ENTERTAINMENT_OPT_bb25_000C
"What is Captain Americas secret identity?",ENTERTAINMENT_4952_0274,"Steve Rogers",ENTERTAINMENT_OPT_5505_000C
"For a brief period during the 1970s, disillusioned by U.S. politics, Captain America changed his name to ...",ENTERTAINMENT_921f_0275,Nomad,ENTERTAINMENT_OPT_0085_000C
"What team of superheroes discovered Captain Americas body frozen in a block of ice in 1964?",ENTERTAINMENT_06c1_0276,Avengers,ENTERTAINMENT_OPT_733c_000C
"What villain did Captain America and Bucky fight in the very first issue of Captain America Comics?",ENTERTAINMENT_0b02_0277,"Red Skull",ENTERTAINMENT_OPT_4196_000B
"What was the original shape of Captain Americas shield?",ENTERTAINMENT_3ca3_0278,Badge-shaped,ENTERTAINMENT_OPT_b11f_000C
"Who played the title role in the 1979 TV movie Captain America?",ENTERTAINMENT_405a_0279,"Reb Brown",ENTERTAINMENT_OPT_a6f6_000A
"When Captain Americas original sidekick was wounded in combat, who replaced him?",ENTERTAINMENT_96f0_0280,"Golden Girl",ENTERTAINMENT_OPT_bb99_000D
